Maker,Maker_Group,Month,Registerations,State 
ALLENTTI MOTORS PVT LTD,Others,JUN,0,Bihar
ALLENTTI MOTORS PVT LTD,Others,JUL,0,Bihar
ALLENTTI MOTORS PVT LTD,Others,AUG,0,Bihar
ALLENTTI MOTORS PVT LTD,Others,SEP,0,Bihar
ALLENTTI MOTORS PVT LTD,Others,OCT,0,Bihar
ALLENTTI MOTORS PVT LTD,Others,NOV,1,Bihar
ALLENTTI MOTORS PVT LTD,Others,DEC,0,Bihar
ALLFINE INDUSTRIES PVT LTD,Others,JAN,108,Bihar
ALLFINE INDUSTRIES PVT LTD,Others,FEB,75,Bihar
ALLFINE INDUSTRIES PVT LTD,Others,MAR,101,Bihar
ALLFINE INDUSTRIES PVT LTD,Others,APR,56,Bihar
ALLFINE INDUSTRIES PVT LTD,Others,MAY,55,Bihar
ALLFINE INDUSTRIES PVT LTD,Others,JUN,79,Bihar
ALLFINE INDUSTRIES PVT LTD,Others,JUL,100,Bihar
ALLFINE INDUSTRIES PVT LTD,Others,AUG,106,Bihar
ALLFINE INDUSTRIES PVT LTD,Others,SEP,56,Bihar
ALLFINE INDUSTRIES PVT LTD,Others,OCT,142,Bihar
ALLFINE INDUSTRIES PVT LTD,Others,NOV,180,Bihar
ALLFINE INDUSTRIES PVT LTD,Others,DEC,120,Bihar
ALTIER ELECTRIC VEHICLES PVT LTD,Others,JAN,23,Bihar
ALTIER ELECTRIC VEHICLES PVT LTD,Others,FEB,24,Bihar
ALTIER ELECTRIC VEHICLES PVT LTD,Others,MAR,24,Bihar
ALTIER ELECTRIC VEHICLES PVT LTD,Others,APR,31,Bihar
ALTIER ELECTRIC VEHICLES PVT LTD,Others,MAY,49,Bihar
ALTIER ELECTRIC VEHICLES PVT LTD,Others,JUN,25,Bihar
ALTIER ELECTRIC VEHICLES PVT LTD,Others,JUL,26,Bihar
ALTIER ELECTRIC VEHICLES PVT LTD,Others,AUG,48,Bihar
ALTIER ELECTRIC VEHICLES PVT LTD,Others,SEP,26,Bihar
